[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Tag[ view_end ] --END-- [ RunTime:0.001598s ]
[ 2012-10-19T17:45:21+08:00 ] /index.php/Admin/skin/images/allbg.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-19T17:45:21+08:00 ] /index.php/Admin/skin/images/frame/search.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-19T17:45:21+08:00 ] /index.php/Admin/skin/images/wbg.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-19T17:45:21+08:00 ] /index.php/Admin/skin/images/tbg.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Tag[ route_check ] --START--
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Run CheckRoute Behavior [ RunTime:0.000963s ]
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Tag[ route_check ] --END-- [ RunTime:0.001088s ]
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Tag[ app_begin ] --START--
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000662s ]
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Run CheckLang Behavior [ RunTime:0.001877s ]
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002729s ]
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | SQL: SHOW COLUMNS FROM `my_category` [ RunTime:0.002964s ]
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | SQL: SELECT * FROM `my_category`  [ RunTime:0.000760s ]
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Tag[ view_template ] --START--
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Run LocationTemplate Behavior [ RunTime:0.001118s ]
